rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
100,比特王新聞,18.448165932279366,Other,SG,10.580765543649532,10.98122349458068,25.0,59.61538461538461,110050870.0,1,0.0,110050870.0,0.0,0.0
101,sky news all stars,18.308761688807884,Other,AU,10.47434253575186,10.870772617480274,25.0,58.97435897435898,108943961.0,1,0.0,108943961.0,0.0,0.0
102,call her daddy,18.21911765696173,Interview & Talk,US,3.625450221715329,7.031962730520325,25.0,100.0,37708420.0,1,37708420.0,0.0,0.0,0.0
103,chunk,18.11072635689475,Other,IN,10.285056876707923,10.674322926037293,25.0,58.333333333333336,106975195.0,1,0.0,106975195.0,0.0,0.0
104,1 on trending for finance,18.03666260925924,Other,GB,10.270978849196695,10.659712077150614,25.0,57.692307692307686,106828769.0,1,0.0,106828769.0,0.0,0.0
105,sword and scale,17.985341263261226,Society & Culture,Unknown,1.000281418256638,4.092669437331202,50.0,66.66666666666666,10403958.0,2,7889702.0,0.0,2514256.0,0.0
106,nadie dice nada,17.959863287939907,Other,AR,10.25303466647887,10.641088747861337,25.0,57.05128205128205,106642131.0,1,0.0,106642131.0,0.0,0.0
107,redhanded,17.94448863600707,True Crime,GB,1.7107490659752829,28.964089033615657,25.0,62.96296296296296,17793554.0,1,0.0,0.0,17793554.0,0.0
108,vince,17.852447354315046,News & Politics,Unknown,1.4164555472104854,5.721097903549022,50.0,60.0,14732598.0,2,11217947.0,0.0,3514651.0,0.0
109,la corneta,17.844539846001076,Comedy,ES,1.3557917531667458,22.954431968300636,25.0,75.75757575757575,14101632.0,1,0.0,0.0,14101632.0,0.0
110,penitencia con saskia niño de rivera,17.79470388898985,Other,MX,10.110212189965445,10.492860764907425,25.0,56.41025641025641,105156630.0,1,0.0,105156630.0,0.0,0.0
